Mike Ogrysko
java SortComparison "ran50.dat" "NMS5ran50out.dat"
Reading "ran50.dat" and writing to "NMS5ran50out.dat"
Running a Natural MergeSort
MergeSort: Swapping 13 and 11
MergeSort: Comparing 13 to 12
MergeSort: Swapping 13 and 12
MergeSort: Comparing 13 to 14
MergeSort: Comparing 39 to 14
MergeSort: Swapping 39 and 14
MergeSort: Comparing 39 to 15
MergeSort: Swapping 39 and 15
MergeSort: Comparing 39 to 16
MergeSort: Swapping 39 and 16
MergeSort: Comparing 39 to 18
MergeSort: Swapping 39 and 18
MergeSort: Comparing 39 to 19
MergeSort: Swapping 39 and 19
MergeSort: Comparing 39 to 20
MergeSort: Swapping 39 and 20
MergeSort: Comparing 39 to 21
MergeSort: Swapping 39 and 21
MergeSort: Comparing 39 to 22
MergeSort: Swapping 39 and 22
MergeSort: Comparing 39 to 23
MergeSort: Swapping 39 and 23
MergeSort: Comparing 39 to 24
MergeSort: Swapping 39 and 24
MergeSort: Comparing 39 to 25
MergeSort: Swapping 39 and 25
MergeSort: Comparing 39 to 26
MergeSort: Swapping 39 and 26
MergeSort: Comparing 39 to 27
MergeSort: Swapping 39 and 27
MergeSort: Comparing 39 to 28
MergeSort: Swapping 39 and 28
MergeSort: Comparing 39 to 30
MergeSort: Swapping 39 and 30
MergeSort: Comparing 39 to 31
MergeSort: Swapping 39 and 31
MergeSort: Comparing 39 to 32
MergeSort: Swapping 39 and 32
MergeSort: Comparing 39 to 33
MergeSort: Swapping 39 and 33
MergeSort: Comparing 39 to 34
MergeSort: Swapping 39 and 34
MergeSort: Comparing 39 to 35
MergeSort: Swapping 39 and 35
MergeSort: Comparing 39 to 36
MergeSort: Swapping 39 and 36
MergeSort: Comparing 39 to 37
MergeSort: Swapping 39 and 37
MergeSort: Comparing 39 to 38
MergeSort: Swapping 39 and 38
MergeSort: Comparing 39 to 41
MergeSort: Comparing 17 to 1
MergeSort: Swapping 17 and 1
MergeSort: Comparing 17 to 2
MergeSort: Swapping 17 and 2
MergeSort: Comparing 17 to 3
MergeSort: Swapping 17 and 3
MergeSort: Comparing 17 to 4
MergeSort: Swapping 17 and 4
MergeSort: Comparing 17 to 5
MergeSort: Swapping 17 and 5
MergeSort: Comparing 17 to 6
MergeSort: Swapping 17 and 6
MergeSort: Comparing 17 to 7
MergeSort: Swapping 17 and 7
MergeSort: Comparing 17 to 8
MergeSort: Swapping 17 and 8
MergeSort: Comparing 17 to 9
MergeSort: Swapping 17 and 9
MergeSort: Comparing 17 to 10
MergeSort: Swapping 17 and 10
MergeSort: Comparing 17 to 11
MergeSort: Swapping 17 and 11
MergeSort: Comparing 17 to 12
MergeSort: Swapping 17 and 12
MergeSort: Comparing 17 to 13
MergeSort: Swapping 17 and 13
MergeSort: Comparing 17 to 14
MergeSort: Swapping 17 and 14
MergeSort: Comparing 17 to 15
MergeSort: Swapping 17 and 15
MergeSort: Comparing 17 to 16
MergeSort: Swapping 17 and 16
MergeSort: Comparing 17 to 18
MergeSort: Comparing 29 to 1
MergeSort: Swapping 29 and 1
MergeSort: Comparing 29 to 2
MergeSort: Swapping 29 and 2
